,title,journal,type,date,doi,scopusID,eID,abstract,url,codeFound
11,Drought exposes ‘Spanish Stonehenge’ for study,Science,Article,26-08-22,10.1126/science.ade5537,SCOPUS_ID:85138583037,2-s2.0-85138583037,NOT FOUND,https://api.elsevier.com/content/abstract/scopus_id/85138583037,NOT FOUND
12,Linking derived debitage to the Stonehenge Altar Stone using portable X-ray fluorescence analysis,Mineralogical Magazine,Article,22-08-22,10.1180/mgm.2022.22,SCOPUS_ID:85127979995,2-s2.0-85127979995,"Abstract
                    The Altar Stone at Stonehenge in Wiltshire, UK, is enigmatic in that it differs markedly from the other bluestones. It is a grey–green, micaceous sandstone and has been considered to be derived from the Old Red Sandstone sequences of South Wales. Previous studies, however, have been based on presumed derived fragments (debitage) that have been identified visually as coming from the Altar Stone. Portable X-ray fluorescence (pXRF) analyses were conducted on these fragments (
                    ex situ
                    ) as well as on the Altar Stone (
                    in situ
                    ). Light elements (
                    Z
                    <37) in the Altar Stone analyses, performed after a night of heavy rain, were affected by surface and pore water that attenuate low energy X-rays, however the dry analyses of debitage fragments produced data for a full suite of elements. High
                    Z
                    elements, including Zr, Nb, Sr, Pb, Th and U, all occupy the same compositional space in the Altar Stone and debitage fragments, and are statistically indistinguishable, indicating the fragments are derived from the Altar Stone. Barium compares very closely between the debitage and Altar Stone, with differences being related to variable baryte distribution in the Altar Stone, limited accessibility of its surface for analysis, and probably to surface weathering.
                  A notable feature of the Altar Stone sandstone is the presence of baryte (up to 0.8 modal%), manifest as relatively high Ba in both the debitage and the Altar Stone. These high Ba contents are in marked contrast with those in a small set of Old Red Sandstone field samples, analysed alongside the Altar Stone and debitage fragments, raising the possibility that the Altar Stone may not have been sourced from the Old Red Sandstone sequences of Wales. This high Ba ‘fingerprint’, related to the presence of baryte, may provide a rapid test using pXRF in the search for the source of the Stonehenge Altar Stone.",https://api.elsevier.com/content/abstract/scopus_id/85127979995,crossref-doi
13,"Portable XRF investigation of Stonehenge Stone 62 and potential source dolerite outcrops in the Mynydd Preseli, west Wales",Journal of Archaeological Science: Reports,Article,01-08-22,10.1016/j.jasrep.2022.103525,SCOPUS_ID:85132940852,2-s2.0-85132940852,"
                  The doleritic bluestone monoliths at Stonehenge have long been known to have been sourced from the Mynydd Preseli area in west Wales, some 225 km away. On geochemical grounds, based on a range of major and trace elements determined by laboratory-based X-ray fluorescence spectrometry, they have been divided into three groups (Groups 1–3). Subsequently, rare earth element data obtained by solution nebulization ICP-MS showed Group 2 Stone 45 to have been sourced from Cerrigmarchogion with Group 2 Stone 62 showing similarities to the outcrops of Carn Ddafad-las and Garn Ddu Fach. In order to test this possible link, portable XRF (pXRF) analyses were obtained in situ from Stone 62 at Stonehenge and from key outcrops in the Preseli.
                  To obtain reliable results from heterogeneous coarse-grained igneous rocks using pXRF to enable comparisons between orthostats and possible sources, a robust analytical strategy was developed. For outcrops this involved a series of horizontal traverses through individual outcrops comprising 10 to 15 analyses a few centimetres apart, giving 60–175 independent analyses per outcrop. This gives a large, analysed surface area per outcrop providing representative data and also has potential to show any vertical variation in source outcrops. Analyses were taken from similarly weathered surfaces on orthostats and outcrops to minimise compositional changes from surface weathering, and a minimum of 20 analyses were taken from orthostats at various locations across the stone. This approach provides a set of well-determined elements which can reliably be used for provenance studies (including K, Fe, Mn, Zn, Rb, Sr, Zr, Nb, Ba). Nickel, Ti and V are affected slightly more by weathering but still prove useful in comparisons, but Cr, used in earlier studies as a compositional discriminant with Ni, here has poor accuracy by pXRF and is not used.
                  The pXRF analyses show that Stone 62 sits within the same ‘compositional space’ (for multiple element concentrations and ranges) as analyses from Carn Ddafad-las and Garn Ddu Fach, two outcrops of the same intrusion which differ from all other analysed outcrops. More specifically, analyses from Stone 62 and Garn Ddu Fach overlap, these forming a subset of the analyses from Carn Ddafad-las, which shows a more extensive range of those same elements. On this basis it is suggested that Garn Ddu Fach is the likely source of Stonehenge non-spotted dolerite Stone 62, a suggestion supported by indistinguishable petrographic characteristics between Stone 62 and dolerite sample PGDF24 from Garn Ddu Fach.
               ",https://api.elsevier.com/content/abstract/scopus_id/85132940852,scopus-doi
14,"Intestinal parasites in the Neolithic population who built Stonehenge (Durrington Walls, 2500 BCE)",Parasitology,Article,20-07-22,10.1017/S0031182022000476,SCOPUS_ID:85133101101,2-s2.0-85133101101,"Abstract
                    Durrington Walls was a large Neolithic settlement in Britain dating around 2500 BCE, located very close to Stonehenge and likely to be the campsite where its builders lived during its main stage of construction. Nineteen coprolites recovered from a midden and associated pits at Durrington Walls were analysed for intestinal parasite eggs using digital light microscopy. Five (26%) contained helminth eggs, 1 with those of fish tapeworm (likely
                    Dibothriocephalus dendriticus
                    ) and 4 with those of capillariid nematodes. Analyses of bile acid and sterol from these 5 coprolites show 1 to be of likely human origin and the other 4 to likely derive from dogs. The presence of fish tapeworm reveals that the Neolithic people who gathered to feast at Durrington Walls were at risk of infection from eating raw or undercooked freshwater fish. When the eggs of capillariids are found in the feces of humans or dogs it normally indicates that the internal organs (liver, lung or intestines) of animals with capillariasis have been eaten, and eggs passed through the gut without causing disease. Their presence in multiple coprolites provides new evidence that internal organs of animals were consumed. These novel findings improve our understanding of both parasitic infection and dietary habits associated with this key Neolithic ceremonial site.
                  ",https://api.elsevier.com/content/abstract/scopus_id/85133101101,crossref-doi
15,Novel insights into prehistoric land use at Stonehenge by combining electromagnetic and invasive methods with a semi-automated interpretation scheme,Journal of Archaeological Science,Article,01-07-22,10.1016/j.jas.2022.105557,SCOPUS_ID:85131421041,2-s2.0-85131421041,"
                  Geophysical survey methods have led to high-resolution mapping of subsurface remnants of ancient landscapes at continually expanding spatial scales. Yet, particularly when applied across entire archaeological landscapes, spanning hundreds of hectares, resultant datasets provide little direct information about inhabitation, environments or change over time.
                  Focusing on a 2.5 km2 area around Stonehenge, we show how geophysical soil survey, when combined with targeted sampling and excavation, can enable reliable empirically-grounded identification of complex activity traces. Particular focus lies on anthropogenic dug pits, identification and interpretation of which are vital in European earlier prehistoric archaeology due to their close connection with inhabitation and ceremonial practices. By integrating frequency domain electromagnetic and invasive datasets, and using a semi-automated interpretation scheme, we identified previously unknown concentrations of large pits (with diameters >2.4 m) among several thousand smaller pits and natural features across the Stonehenge landscape. Excavations of a subset of identified features demonstrate that, in this area, our investigative methodology is 66% accurate for identifying large anthropogenic pits. Our results have significant implications for understanding Stonehenge and its landscape setting, revealing elusive forms of Mesolithic to later Bronze Age land use that - even within the world's most intensively researched archaeological landscape - have gone unrecognized until now.
                  These findings underscore both the crucial role of archaeological excavation as an essential basis for reliable interpretation of geophysical data, as well as the perils of inductive visual interpretation of features’ morphologies and their spatial configuration in non-invasive survey data.
               ",https://api.elsevier.com/content/abstract/scopus_id/85131421041,scopus-doi
16,The World of Stonehenge exhibition: Britain and Europe from 4000-1000 BC,Antiquity,Review,01-06-22,10.15184/aqy.2022.37,SCOPUS_ID:85128175724,2-s2.0-85128175724,"
                    The
                    World of Stonehenge
                    is the latest in a series of impressive exhibitions at the British Museum devoted to European prehistory: a worthy successor to
                    Ice Age Art
                    in 2012 and
                    Celts: art and identity
                    in 2015. Like them, it has already attracted significant public attention, with a raft of positive reviews in the press. Indeed, given the quality and range of material on display, it could hardly fail to be a success. Not only does it gather together key objects from a series of British and Irish museums, but also a range of striking artefacts from continental Europe. Among these, first place must surely go to the Nebra ‘sky disc’; but there are also major finds from France, Switzerland, Denmark and northern Italy that will not previously have been seen in Britain.
                  ",https://api.elsevier.com/content/abstract/scopus_id/85128175724,crossref-doi
17,Keeping time at Stonehenge,Antiquity,Article,16-04-22,10.15184/aqy.2022.5,SCOPUS_ID:85125850800,2-s2.0-85125850800,"Scholars have long seen in the monumental composition of Stonehenge evidence for prehistoric time-reckoning—a Neolithic calendar. Exactly how such a calendar functioned, however, remains unclear. Recent advances in understanding the phasing of Stonehenge highlight the unity of the sarsen settings. Here, the author argues that the numerology of these sarsen elements materialises a perpetual calendar based on a tropical solar year of 365.25 days. The indigenous development of such a calendar in north-western Europe is possible, but an Eastern Mediterranean origin is also considered. The adoption of a solar calendar was associated with the spread of solar cosmologies during the third millennium BC and was used to regularise festivals and ceremonies.",https://api.elsevier.com/content/abstract/scopus_id/85125850800,crossref-doi
18,"Life before Stonehenge: The hunter-gatherer occupation and environment of Blick Mead revealed by sedaDNA, pollen and spores",PLoS ONE,Article,01-04-22,10.1371/journal.pone.0266789,SCOPUS_ID:85128940603,2-s2.0-85128940603,"The Neolithic and Bronze Age construction and habitation of the Stonehenge Landscape has been extensively explored in previous research. However, little is known about the scale of pre-Neolithic activity and the extent to which the later monumental complex occupied an ‘empty’ landscape. There has been a long-running debate as to whether the monumental archaeology of Stonehenge was created in an uninhabited forested landscape or whether it was constructed in an already partly open area of pre-existing significance to late Mesolithic hunter-gatherers. This is of significance to a global discussion about the relationship between incoming farmers and indigenous hunter-gatherer societies that is highly relevant to both Old and New World archaeology. Here we present the results of plant sedaDNA, palynological and geoarchaeological analysis at the Late hunter-gatherer site complex of Blick Mead at the junction of the drylands of Salisbury Plain and the floodplain of the River Avon, on the edge of the Stonehenge World Heritage Site. The findings are placed within a chronological framework built on OSL, radiocarbon and relative archaeological dating. We show that Blick Mead existed in a clearing in deciduous woodland, exploited by aurochsen, deer and hunter-gatherers for approximately 4000 years. Given its rich archaeology and longevity this strongly supports the arguments of continuity between the Late Mesolithic hunter-gatherers activity and Neolithic monument builders, and more specifically that this was a partially open environment important to both groups. This study also demonstrates that sediments from low-energy floodplains can provide suitable samples for successful environmental assaying using sedaDNA, provided they are supported by secure dating and complementary environmental proxies.",https://api.elsevier.com/content/abstract/scopus_id/85128940603,crossref-doi
19,Vision-Only Robot Navigation in a Neural Radiance World,IEEE Robotics and Automation Letters,Article,01-04-22,10.1109/LRA.2022.3150497,SCOPUS_ID:85124773264,2-s2.0-85124773264,"Neural Radiance Fields (NeRFs) have recently emerged as a powerful paradigm for the representation of natural, complex 3D scenes. Neural Radiance Fields (NeRFs) represent continuous volumetric density and RGB values in a neural network, and generate photo-realistic images from unseen camera viewpoints through ray tracing. We propose an algorithm for navigating a robot through a 3D environment represented as a NeRF using only an onboard RGB camera for localization. We assume the NeRF for the scene has been pre-trained offline, and the robot�s objective is to navigate through unoccupied space in the NeRF to reach a goal pose. We introduce a trajectory optimization algorithm that avoids collisions with high-density regions in the NeRF based on a discrete time version of differential flatness that is amenable to constraining the robot�s full pose and control inputs. We also introduce an optimization based filtering method to estimate 6DoF pose and velocities for the robot in the NeRF given only an onboard RGB camera. We combine the trajectory planner with the pose filter in an online replanning loop to give a vision-based robot navigation pipeline. We present simulation results with a quadrotor robot navigating through a jungle gym environment, the inside of a church, and Stonehenge using only an RGB camera. We also demonstrate an omnidirectional ground robot navigating through the church, requiring it to reorient to fit through a narrow gap.",https://api.elsevier.com/content/abstract/scopus_id/85124773264,NOT FOUND
20,"Space, Magic, and Remembrance. Genealogy of an Initiation to Contemplation",Vesper,Article,01-03-22,10.1400/288566,SCOPUS_ID:85147830620,2-s2.0-85147830620,"The great architects of the anti-fascist and war monuments and memorials in Yugoslavia - Bogdan Bogdanovic, Zdenko Kolacio, and Edvard Ravnikar -, dedicate to the relationship between 'primitivism', abstraction, and spatial relationism, a substantial part of their career, both professional and theoretical. Kolacio dedicates theoretical studies to Stonehenge, to the tradition of the dolmens and menhirs, subsequently interpreting them in his works in a contemporary key. Ravnikar try to merge in his monuments the Neolithic art of the Balkan civilisations with oriental art and that of Max Bill and Henry Moore, working on highly refined spatial tensions between objects, paths, and places. Bogdanovic, who focuses all his creativity on the search for mythologems, figures, forms, and archetypal languages, capable of creating the first elements of the new Yugoslav revolutionary culture, will look at the tradition of the Neolithic and Etruscan necropolises as with Sumerian, Hittite, and Egyptian sculpture. In this context, Zdenko Sila's memorial dedicated to twenty-six frozen partisans and the memorial of Tican were designed to incite 'magic of a secular ecstasy', through this particular symbolic and spatial link with nature (the eternal), and with the experience of the meaning of death (memory). � 2022 Vesper. All right reserved.",https://api.elsevier.com/content/abstract/scopus_id/85147830620,NOT FOUND
21,Using Portable X-ray Fluorescence Spectrometry (PXRF) to Explore the Origins of the Sarsen Megaliths at Stonehenge,Spectroscopy (Santa Monica),Note,01-03-22,NA,SCOPUS_ID:85129110070,2-s2.0-85129110070,"The sources of the stone used to construct Stonehenge around 2500 BCE have been debated for over four centuries. The smaller �bluestones� near the center of the monument have been traced to Wales, but the origins of the sarsen (silcrete) megaliths that form the primary architecture of Stonehenge remain unknown. Here, we use geochemical data to show that 50 of the 52 sarsens at the monument share a consistent chemistry and, by inference, originated from a common source area. We then compare the geochemical signature of a core extracted from Stone 58 at Stonehenge with equivalent data for sarsens from across southern Britain. From this, we identify West Woods, Wiltshire, 25 km north of Stonehenge, as the most probable source area for the majority of sarsens at the monument.",https://api.elsevier.com/content/abstract/scopus_id/85129110070,NOT FOUND
22,The New Revolution in Psychology and the Neurosciences: With an Interdisciplinary Approach to the Role of the Cerebellum,The New Revolution in Psychology and the Neurosciences: With an Interdisciplinary Approach to the Role of the Cerebellum,Book,01-01-22,10.1007/978-3-031-06093-9,SCOPUS_ID:85160474311,2-s2.0-85160474311,"Historically researchers of neuroscience and psychology have believed that the cerebral cortex produces the unique mental capacities of human beings. However, a prevalence of brain-imaging evidence now shows that the cerebral cortex, while the seat of our everyday experience (notably in working memory), is not predominant in actually formulating our amazing capabilities. Rather, the achievements that mark humans as �Homo sapiens� originate in the cerebellum which increased three- to fourfold in size and acquired massive cognitive and social optimization capabilities over the last million years. Thus, through its optimization of experience and skill of the cerebral cortex, it was the cerebellum that was and is predominant in producing culture, language, mathematics, creativity, and extreme levels of skill in all areas from sports to computer science and art. These optimizing functions of the cerebellum are shown in the cases of Albert Einstein, Wolfgang Amadeus Mozart, Maryam Mirzakhani, and the predictive powers of Stonehenge.

This book fills a critical role in bringing courses up-to-date with the profound, basic changes this newly understood predominant role of the cerebellum provides for understanding the mechanisms related to all topics in psychology and neuroscience. It is critical that this �new revolution in psychology and the neurosciences� be introduced and reviewed in courses that are part of both undergraduate and graduate studies in psychology and neuroscience. This text might also be of use to courses in anthropology and cross-disciplinary studies as the cerebellum was critically involved in the evolution of cognitive and social behaviour.",https://api.elsevier.com/content/abstract/scopus_id/85160474311,NOT FOUND
23,The World of Stonehenge,Time and Mind,Note,01-01-22,10.1080/1751696X.2022.2122347,SCOPUS_ID:85140116735,2-s2.0-85140116735,NOT FOUND,https://api.elsevier.com/content/abstract/scopus_id/85140116735,NOT FOUND
24,Towards terahertz imaging applications at Stonehenge for identification of prehistoric carvings,"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz",Conference Paper,01-01-22,10.1109/IRMMW-THz50927.2022.9895488,SCOPUS_ID:85139859824,2-s2.0-85139859824,"Prehistoric carvings on the stone surfaces of Stonehenge may lie undiscovered beneath shrubby layers of lichen. We assess the suitability of terahertz time domain imaging as a subsurface imaging technique for archaeologists to identify carvings obscured by lichen. In a lab setting, we show that lichen at low water content does not completely obscure carvings on stone using terahertz imagery, and that the fainter returns from the stone surface can still be leveraged to give a basic view of the stone topography beneath lichen.",https://api.elsevier.com/content/abstract/scopus_id/85139859824,NOT FOUND
25,"""The world of Stonehenge"" and the bronze hand of Prêles",Archaologie der Schweiz,Article,01-01-22,NA,SCOPUS_ID:85132744947,2-s2.0-85132744947,NOT FOUND,https://api.elsevier.com/content/abstract/scopus_id/85132744947,NOT FOUND
26,Radical Gothic: Politics and Antiquarianism in Wordsworth’s Salisbury Plain,Palgrave Gothic,Book Chapter,01-01-22,10.1007/978-3-030-96832-8_3,SCOPUS_ID:85131811068,2-s2.0-85131811068,"This chapter reads Wordsworth�s Salisbury Plain (1794) as a �Gothic� text in the sense of reflecting an engagement with the antiquarian strains of British radicalism in the early 1790s. The poem develops a connection between ancient acts of murder and what Wordsworth later called modern Britain�s �wars � against liberty,� giving dramatic expression to Wordsworth�s increasing awareness of threats to conventional notions of cultural and political Englishness, including from the �Celtic� radicalism with which he had aligned himself on his return from France in late 1792. I suggest that this is not simply a negative �reactionary� turn; rather that Salisbury Plain sees Wordsworth seeking to recreate a specifically English tradition of �Gothic� radicalism. By bringing a range of historical material to bear upon the first text of the poem (also known as �A Night on Salisbury Plain�) I aim to recover Wordsworth�s immediate sense of the monumental historical and political antithesis staked out on the landscape of Salisbury Plain�registered physically in the correspondence between Salisbury Cathedral and Stonehenge, and figuratively in the opposition between the talisman of ancient English liberty, Magna Carta, and the Wicker Man, the emblem of ancient British slavery.",https://api.elsevier.com/content/abstract/scopus_id/85131811068,NOT FOUND
27,"The Face of Stonehenge: 3D Surface Scanning, 3D Printing and Facial Reconstruction of the Winterbourne Stoke Cranium",Springer Series on Cultural Computing,Book Chapter,01-01-22,10.1007/978-3-030-77028-0_22,SCOPUS_ID:85127948191,2-s2.0-85127948191,"Stonehenge is one of the world�s most iconic archaeological sites and yet we know relatively little about the people that created this important prehistoric monument. This chapter contributes to this narrative by reconstructing the face of a high-status male who was recovered during nineteenth-century excavation of a Neolithic Long Barrow. Situated in the barrow cemetery at Winterbourne Stoke, this site is important to the contextual setting and contemporary development of Stonehenge as a ceremonial and ritual centre. The chapter reports on the combination of digital bioarchaeology and visual heritage methods, together with forensic reconstruction, that transformed the physical remains of the individual into digital data that was manipulated for 3D printing; and subsequent anatomical and visual art interpretation to yield physical life-like characteristics. His facial features have been rebuilt on the 3D printed skull, muscle by muscle, to create a highly realistic face from the era. The aim of this project was to provide a tangible connection to the archaeology of the Stonehenge landscape and to the people that developed its ceremonial and ritual significance�narrowing the temporal distance through the emotional experience it means to gaze into the eyes of a Neolithic individual.",https://api.elsevier.com/content/abstract/scopus_id/85127948191,NOT FOUND
